"","title","link","text","collection_date"
"33","World Water Day -- 22 March 2021","https://www.cbd.int/article/Nature-COVID19, https://www.cbd.int/gbo5, https://spark.adobe.com/page/danrCfAFBrvB5/, https://unesdoc.unesco.org/ark:/48223/pf0000375724, https://www.cbd.int/doc/speech/2021/sp-2021-03-22-water-en.pdf, https://www.cbd.int/waters/, https://www.cbd.int/marine/","although it may seem infinite to some, water is a finite resource. however, its scarcity is not the only factor that adds value to water.  the value of water is about much more than its economic value <U+0096> water has enormous and complex value for our households, food, culture, health, education, economics and the integrity of our natural environment. 

water means different things to different people because of its intrinsic, traditional, cultural and social values. to acknowledge the true value of water we must protect and conserve our healthy marine, coastal and freshwater ecosystems to ensure water for all.

water and sanitation remain critical to containing the ongoing covid-19 pandemic, highlighting the value of sustainably managing water resources and protecting the ecosystems that provide this precious resource. integrated water resource management approaches are needed to reinforce the value of water and rethink our relationship between water, people and health.

these approaches must also aim to involve more diverse stakeholder groups and transition to multi-value water governance, as women and girls are often disproportionately impacted by inadequate water and sanitation conditions.

the fifth global biodiversity outlook outlines several sustainable transitions geared towards reversing biodiversity loss and its impacts on ecosystems. the sustainable freshwater transition promotes an integrated approach to guarantee the flow of water for nature and people, by improving water quality, protecting critical habitats, controlling invasive species, and safeguarding connectivity between habitats. 

water is everything to us <U+0096> it is our origin and our future. from the vast oceans to the water vapour in our atmosphere, water unites all of nature and its processes. water is one of our planet<U+0092>s most valuable resources for its direct necessity for people and for the proper functioning of ecosystems.

 

the united nations world water development report 2021: valuing water

today the united nations world water development report 2021 on valuing water was launched. the report is the un-water flagship report on water issues, published by unesco and coordinated by the unesco world water assessment programme.

the report assesses the current status of and challenges to the valuation of water across differing sectors and perspectives and identifies ways in which valuation can be promoted as a tool to help achieve sustainability. 

valuation of water infrastructure involves various scales, from site-specific to system-wide, taking account of the type of project, as well as the hydrological, environmental and social conditions. this report provides a snapshot of approaches to considering multiple values, and reaching transparent and equitable decisions. 

click here to read the full report

 

more information

statement 

inland wates biodiversity

marine and coastal ecosystems",2021-04-16
"34","Excerpt from Nature's Interview with the Executive Secretary Elizabeth Maruma Mrema","https://www.nature.com/articles/d41586-020-01947-9, https://www.nature.com/articles/d41586-020-01947-9, https://www.cbd.int/article/Announcement-New-Executive-Secretary-2020, https://www.cbd.int/article/Preventing-Zoonotic-Disease-Spread","in this excerpt from nature's article titled, ""the biodiversity leader who is fighting for nature amid a pandemic"", executive secretary of the united nations convention on biological diversity, elizabeth maruma mrema, discusses the need for countries to build back better, given the  challenges presented by the coronavirus pandemic.

 


""how has the pandemic affected the biodiversity agenda?
one could say that i have been appointed at a bad time for biodiversity, considering that the whole world is just emerging from, or still in, lockdown because of the covid-19 pandemic. but at the same time, i see it as a major opportunity, as biodiversity is being discussed more than ever before. there is greater awareness of the impact that human activities can have on nature, and of the connection between human health and biodiversity.

our interference, through deforestation, agricultural expansion, livestock intensification and habitat fragmentation, has exposed wild animals and brought them into closer contact with people, which has resulted in the spillover of pathogens and zoonotic diseases, human-to-human transmission through trade and tourism, and the explosive pandemic we currently find ourselves in.

these are not new issues to the convention. but the pandemic has brought these issues to the fore, and has emphasized discussions about how to prevent future pandemics. i still consider 2020 to be a super year for biodiversity, as we spend it preparing, talking, creating awareness and showing the links. 2021 will be the year for the deal.

 

how will you ensure that you don<U+0092>t lose momentum by next year?
my number-one goal is to get more stakeholders engaged and speaking about the importance of biodiversity and nature, and learning about the impact of human activities on biodiversity loss, and on climate change, changes in land use, pollution and invasive species.

these stakeholders will help us by putting positive pressure on governments to agree on an ambitious and transformative, post-2020 global biodiversity framework, and can then help us in implementing the agreement. we don<U+0092>t want kunming just to be a meeting of environmental communities, but to involve youth, businesses, local communities, cities and municipalities.

these efforts are continuing in the virtual world. if anything, we have had more consultations and more time to prepare and engage during this period. i am seeing a lot of support and commitment, but for now these are only words. will they translate into tangible, measurable, smart actions that will make a difference? that keeps me up at night.""

 


 

more information:

read the full article 

elizabeth maruma mrema appointed  executive secretary of the un convention on biological diversity

preventing zoonotic disease spread",2021-04-16
"35","Traditional techniques provide useful models for biodiversity policies","https://www.cbd.int/traditional/","the international community has recognized the close and traditional dependence of many indigenous peoples and local communities on biological resources, notably in the preamble to the convention on biological diversity (cbd). there is also a broad recognition of the contribution that traditional knowledge can make to both the conservation and the sustainable use of biological diversity, two fundamental objectives of the cbd.

as a result of the convention<U+0092>s adoption and the work being conducted under its auspices, governments have already undertaken to facilitate the participation of indigenous peoples and local communities in developing policies for the conservation and sustainable use of biological resources, access to genetic resources and the sharing of benefits, and the designation and management of protected areas.
many governments are now in the process of implementing article 8(j) of the convention through their national biodiversity action plans, strategies and programmes. several governments have adopted specific laws, policies and administrative arrangements for protecting traditional knowledge, emphasizing that the prior informed consent of knowledge holders must be attained before their knowledge can be used by others.

a growing respect for traditional knowledge has led modern science to adapt its procedures for assessing the impact of development projects on biodiversity. governments are also seeking to involve indigenous peoples and local communities more actively, and to apply their knowledge and technologies, in the conservation and sustainable use of forests, agricultural biodiversity, inland waters, coastal and marine ecosystems, rangelands and eco-tourism.
 

 

more information:

article 8(j) - traditional knowledge, innovations and practices",2021-04-16
"36","Biodiversity Year in Review","https://ipbes.net/news/Media-Release-Global-Assessment, https://www.cbd.int/conferences/post2020/wg2020-01/documents, https://www.un.org/en/climatechange/un-climate-summit-2019.shtml, https://www.gouvernement.fr/en/g7-environment-ministers-sign-biodiversity-charter, https://www.gouvernement.fr/en/g7-environment-ministers-sign-biodiversity-charter, https://www.newyorker.com/news/news-desk/an-uncommon-victory-for-an-indigenous-tribe-in-the-amazon, https://twitter.com/hashtag/UN75, https://www.un.org/en/un75, https://www.cbd.int/gbo/, https://unfccc.int/news/united-kingdom-in-partnership-with-italy-to-host-cop-26/cmp-16/cma-3, https://www.worldenvironmentday.global/, https://www.cbd.int/conferences/post2020","five moments that made a difference for biodiversity

1.       ipbes global assessment report on biodiversity and ecosystem services

  
iisd / diego nogueraone million species are now at risk of extinction. this dire warning from the global assessment report on biodiversity and ecosystem services shocked the world in may. published by the intergovernmental science-policy platform on biodiversity and ecosystem services (ipbes), the report was assembled by an international team of leading researchers and provides a comprehensive view of the state of nature.

 <U+0093>the health of ecosystems on which we and all other species depend is deteriorating more rapidly than ever,<U+0094> former ipbes chair sir robert watson said. it wasn<U+0092>t all doom and gloom though <U+0096> the report also told us it isn<U+0092>t too late to make a difference if we act now, locally and globally.  importantly, the 132 ipbes member states signed off on the summary for policymakers, which calls for transformative change to address the main drivers of biodiversity loss.

ipbes global assessment media release

 

2.       opening of negotiations for post-2020 biodiversity framework

  
iisd / diego noguerafollowing a summer of dramatic heat waves and forest fires, the global community came together to deliberate over an appropriate response. more than 500 delegates from 100 countries and a wide range of organizations from indigenous groups, civil society, local authorities and business, took part in the first round of official discussions for a new global biodiversity framework.

 the discussions in nairobi focused primarily on the structure and elements that will make up the framework as well as the way forward to reach a strong agreement. the process will culminate in october 2020 in kunming, china, where parties are expected to adopt the new framework.

conference report

 

3.       climate action summit focuses on nature-based solutions

  
un photo / loey felipethe un secretary-general convened a climate action summit that included a special focus on nature-based solutions and their potential to help limit global warming. participants highlighted solutions that are already being deployed for mitigation and adaptation and that could be scaled up for even greater impact.

<U+0093>investing in nature brings multiple benefits: nature helps us adapt to climate change, become more resilient in the face of natural threats, produce nutritious food sustainably, create green jobs and live in cities based on a circular economy model,<U+0094> un deputy secretary-general amina j. mohammed said. 

un climate action summit 2019 

 

4.       g7 signs metz charter on biodiversity

  
environment ministers from the world<U+0092>s largest advanced economies vowed to <U+0093>accelerate and intensify our efforts to halt the biodiversity loss, to value, conserve, restore and wisely use biodiversity, thereby maintaining ecosystem services, sustaining a healthy planet and delivering benefits essential for all people.<U+0094> g7 ministers signed the metz charter on biodiversity during their meeting in may. heads of state from the powerful bloc endorsed the charter during their august summit, vowing to take action ahead of the un biodiversity conference scheduled for october 2020.

g7 environment ministers sign biodiversity charter media releasemetz charter on biodiversity

 

5.       waorani land rights victory 

  
beto0albo/pixabaya legal victory for a small tribe in ecuador sent a resounding message about the rights of indigenous peoples and local communities to participate in decision making related to their ancestral lands. the waorani nation had objected to plans to open up its territories in the amazon for oil exploration. while the government has the right to develop the land, the court ruled that the tribe was not adequately consulted. activists said the ruling preserves 500,000 hectares of amazon forest and sets a precedent for other indigenous and local communities. 

an uncommon victory for an indigenous tribe in the amazon news article

 

2020: what to watch

1. united nations celebrates 75 years

  
though not strictly a biodiversity event, the un<U+0092>s 75th anniversary observation in 2020 will focus attention on the importance of multilateralism to solve global challenges like armed conflict, climate change, biodiversity loss and others. to mark the occasion, the un will launch a worldwide #un75 dialogue on the need for international cooperation to build the future we want. the negotiations for the new global biodiversity framework will serve as an important example of multilateralism during this historic year.

join the conversation: #un75the united nations will launch a global conversation video

 

2.  global biodiversity outlook  5 release

  
18 may is the date set for the release of the fifth edition of the global biodiversity outlook (gbo5). this flagship periodical from the convention on biological diversity provides a status check on biodiversity and the steps being taken to ensure its conservation and sustainable use. building on the ipbes global assessment as well as national reports on biodiversity action, gbo5 will examine progress on the aichi biodiversity targets, set to expire in 2020, and help lay the groundwork for a new global biodiversity framework. 

get ready for the release of gbo5 by reviewing the previous editions: https://www.cbd.int/gbo/

 

3.            un climate change conference (cop 26)

  
unclimatechange/flickr (cop25)five years after its signing, the paris agreement on climate change reaches a pivotal stage in 2020. signatory countries will be asked to raise their commitments on climate action when they meet at the un climate conference (cop 26) in november. it<U+0092>s the end of the first 5-year cycle under the <U+0093>ratcheting up<U+0094> mechanism, designed to boost emissions cuts over countries<U+0092> initial pledges. this raising of ambition is essential if the world is to limit temperature rises to 1.5 degrees celsius above pre-industrial levels and avoid the worst impacts of global warming.

united kingdom, in partnership with italy, to host cop 26 / cmp 16 / cma 3

 

4.   world environment day

  
unep photoworld environment day 2020 will focus the world<U+0092>s attention on the issue of biodiversity. observed every year on 5 june, world environment day is celebrated by millions of people in more than 100 countries. this year, the flagship event will be hosted by colombia in partnership with germany.

making the announcement during the un climate change conference in december, un environment programme executive director inger andersen noted the links between climate and biodiversity: <U+0093>2020 is a year for urgency, ambition and action to address the crisis facing nature; it is also an opportunity to more fully incorporate nature-based solutions into global climate action.<U+0094>

colombia to host 2020 world environment day on biodiversity

 

5.            un biodiversity conference (cop 15) 

  
hbieser/pixabayunder the theme ""ecological civilization: building a shared future for all life on earth"", the 2020 un biodiversity conference is set to make history. recognizing that governments cannot halt the decline of nature on their own, the 196 parties to the convention are expected to adopt a <U+0091>global biodiversity framework<U+0092> to engage all sectors of society in safeguarding all life on earth.

officially the fifteenth meeting of the conference of the parties (cop 15) to the convention on biological diversity, the event is will bring thousands of delegates and interested onlookers to kunming, china in october. announcing the theme in september, china<U+0092>s minister of ecology and environment of china, li ganjie, said: <U+0093>human beings and nature share only one planet. nature must be respected, sustainably used and conserved to achieve the vision of the convention on biological diversity living in harmony with nature.<U+0094>

road to kunming: https://www.cbd.int/conferences/post2020",2021-04-16
"37","Summit on Biodiversity -- 30 September 2020*","https://www.cbd.int/conferences/post2020, https://www.cbd.int/events/unbiodiversitysummit/summary.pdf, https://undocs.org/en/A/RES/74/269, https://www.cbd.int/article/2020-UN-Biodiversity-Summit, https://www.cbd.int/events/unbiodiversitysummit/factsheet-numbers.pdf, https://www.cbd.int/events/unbiodiversitysummit/factsheet-actions.pdf, https://www.cbd.int/events/unbiodiversitysummit/letter-spillover.pdf, https://www.un.org/pga/75/wp-content/uploads/sites/100/2020/09/Letter-to-Member-States-re-Updated-Programme-and-List-of-Speakers-15-September-Final-002.pdf, https://www.un.org/pga/74/2020/09/10/selection-of-co-chairs-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/28/co-moderators-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/10/summit-on-biodiversity-8/, https://www.un.org/pga/74/2020/08/04/summit-on-biodiversity-list-of-speakers/, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/","the summit on biodiversity will be convened by the president of the general assembly at the united nations headquarters in new york on the first and second days of general debate of the assembly, on 30 september 2020*.  the meeting takes place on the margins of the opening of the 75th session of the un general assembly. heads of state and government are expected to be in attendance.

the summit will provide a unique opportunity to demonstrate ambition to accelerate action on biodiversity for sustainable development, and thereby give momentum to the development and eventual adoption of an effective post 2020 global biodiversity framework at the fifteenth meeting of the conference of the parties to the convention (cop 15). the post-2020 global biodiversity framework is meant to be ambitious, not only in the goals and targets set, but also in providing the means, financial and otherwise, to achieve those goals, and in the mechanisms put in place to review progress. 

the secretariat of the convention on biological diversity encourages parties to prepare for the summit, and to ensure participation at the highest possible level and the inclusion in delegations of representatives of parliamentary institutions, local governments, civil society, including non-governmental organizations, indigenous peoples and local communities, community organizations, faith-based organizations, academia, philanthropic foundations, youth and the private sector. 

 

for a summary of the summit click here.

 

* correction: a previous version of this webpage referred to notification ref.: scbd/oes/em/dc/is/88838 with announced summit dates that have now changed to 30 september 2020

 

more information:resolution a/res/74/269 

updated information on the summit

biodiversity numbers -- fact sheet

what can be done to protect and preserve biodiversity -- fact sheet",2021-04-16
"38","Summit on Biodiversity -- 30 September 2020*","https://www.cbd.int/conferences/post2020, https://www.cbd.int/events/unbiodiversitysummit/summary.pdf, https://undocs.org/en/A/RES/74/269, https://www.cbd.int/article/2020-UN-Biodiversity-Summit, https://www.cbd.int/events/unbiodiversitysummit/factsheet-numbers.pdf, https://www.cbd.int/events/unbiodiversitysummit/factsheet-actions.pdf, https://www.cbd.int/events/unbiodiversitysummit/letter-spillover.pdf, https://www.un.org/pga/75/wp-content/uploads/sites/100/2020/09/Letter-to-Member-States-re-Updated-Programme-and-List-of-Speakers-15-September-Final-002.pdf, https://www.un.org/pga/74/2020/09/10/selection-of-co-chairs-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/28/co-moderators-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/10/summit-on-biodiversity-8/, https://www.un.org/pga/74/2020/08/04/summit-on-biodiversity-list-of-speakers/, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/","the summit on biodiversity will consist of an opening segment, a plenary segment for general discussion, two leaders<U+0092> dialogues and a closing segment. 

the leaders<U+0092> dialogues will be held under the following themes: 

<U+0093>addressing biodiversity loss and mainstreaming biodiversity for sustainable development<U+0094> (dialogue 1) and 
	<U+0093>harnessing science, technology and innovation, capacity-building, access and benefit-sharing, financing and partnerships for biodiversity<U+0094> (dialogue 2).",2021-04-16
"39","Summit on Biodiversity -- 30 September 2020*","https://www.cbd.int/conferences/post2020, https://www.cbd.int/events/unbiodiversitysummit/summary.pdf, https://undocs.org/en/A/RES/74/269, https://www.cbd.int/article/2020-UN-Biodiversity-Summit, https://www.cbd.int/events/unbiodiversitysummit/factsheet-numbers.pdf, https://www.cbd.int/events/unbiodiversitysummit/factsheet-actions.pdf, https://www.cbd.int/events/unbiodiversitysummit/letter-spillover.pdf, https://www.un.org/pga/75/wp-content/uploads/sites/100/2020/09/Letter-to-Member-States-re-Updated-Programme-and-List-of-Speakers-15-September-Final-002.pdf, https://www.un.org/pga/74/2020/09/10/selection-of-co-chairs-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/28/co-moderators-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/10/summit-on-biodiversity-8/, https://www.un.org/pga/74/2020/08/04/summit-on-biodiversity-list-of-speakers/, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/","letters

date
			subject
		22 september 2020
			the proposal to organize two spillover events
		15 september 2020
			the programme for the summit on biodiversity, wednesday, 30 september 2020
		10 september 2020
			the selection of co-chairs for the leaders<U+0092> dialogues for the summit on biodiversity
		28 august 2020
			the co-moderators for the leaders dialogues for the summit on biodiversity
		10 august 2020
			the two leaders dialogues of the summit on biodiversity, scheduled for wednesday, 30 september 2020
		4 august 2020
			the list of speakers for the plenary segment and the two leaders dialogues for the summit on biodiversity. which will open for inscription on 12 august 2020 at 10 a.m. edt, until 4 september, at 5 p.m.
		24 july 2020
			the summit on biodiversity is being convened under the theme <U+0093>urgent action on biodiversity for sustainable development<U+0094>, circulating the concept note",2021-04-16
"40","United Nations Summit on Biodiversity    --30 September 2020","https://www.cbd.int/article/2020-UN-Biodiversity-Summit/statements, https://www.un.org/pga/75/united-nations-summit-on-biodiversity/, https://www.cbd.int/events/unbiodiversitysummit/summary.pdf, https://www.cbd.int/doc/notifications/2020/ntf-2020-054-un-biodiversity-summit-en.pdf, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/, https://undocs.org/en/A/RES/74/269, https://www.cbd.int/events/unbiodiversitysummit/factsheet-numbers.pdf, https://www.cbd.int/events/unbiodiversitysummit/factsheet-actions.pdf, https://www.cbd.int/events/unbiodiversitysummit/letter-spillover.pdf, https://www.un.org/pga/75/wp-content/uploads/sites/100/2020/09/Letter-to-Member-States-re-Updated-Programme-and-List-of-Speakers-15-September-Final-002.pdf, https://www.un.org/pga/74/2020/09/10/selection-of-co-chairs-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/28/co-moderators-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/10/summit-on-biodiversity-8/, https://www.un.org/pga/74/2020/08/04/summit-on-biodiversity-list-of-speakers/, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/","the video below is a recording of the entire un summit on biodiversity (11 hours 21 minutes).

for direct links to individual statements click here (video and text).



our societies are intimately linked with and depend on biodiversity. its loss and the degradation of its contributions to people jeopardize progress towards the sustainable development goals (sdgs) and human wellbeing. the covid-19 pandemic has further highlighted the importance of the relationship between people and nature. 
 
the summit highlighted the crisis facing humanity from the degradation of biodiversity and the urgent need to accelerate action on biodiversity for sustainable development. it provided an opportunity for heads of state and government and other leaders to raise ambition for the development of the post-2020 global biodiversity framework to be adopted at the 15th meeting of the conference of parties to the convention on biological diversity, to be held in 2021. this framework, and its effective implementation, must put nature on a path to recovery by 2030 to meet the sdgs and realize the vision of <U+0093>living in harmony with nature<U+0094>.

the scope, modalities, format and organization of the summit have been set out in general assembly resolution 74/269, and by decision 74/562 on the high-level meetings during the 75th session of the assembly. 

the summit was held on 30 september, 2020 and member states, observer states and the european union submitted pre-recorded statements of their head of state / government, ministers or other head of delegation, which was played in the general assembly hall.

for more information about the summit click here.

for a summary of the summit click here.

 

more information:

notification

concept note

scope, modalities, format and organization of the summit 

biodiversity numbers -- fact sheet

what can be done to protect and preserve biodiversity -- fact sheet",2021-04-16
"41","United Nations Summit on Biodiversity    --30 September 2020","https://www.cbd.int/article/2020-UN-Biodiversity-Summit/statements, https://www.un.org/pga/75/united-nations-summit-on-biodiversity/, https://www.cbd.int/events/unbiodiversitysummit/summary.pdf, https://www.cbd.int/doc/notifications/2020/ntf-2020-054-un-biodiversity-summit-en.pdf, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/, https://undocs.org/en/A/RES/74/269, https://www.cbd.int/events/unbiodiversitysummit/factsheet-numbers.pdf, https://www.cbd.int/events/unbiodiversitysummit/factsheet-actions.pdf, https://www.cbd.int/events/unbiodiversitysummit/letter-spillover.pdf, https://www.un.org/pga/75/wp-content/uploads/sites/100/2020/09/Letter-to-Member-States-re-Updated-Programme-and-List-of-Speakers-15-September-Final-002.pdf, https://www.un.org/pga/74/2020/09/10/selection-of-co-chairs-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/28/co-moderators-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/10/summit-on-biodiversity-8/, https://www.un.org/pga/74/2020/08/04/summit-on-biodiversity-list-of-speakers/, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/","opening and welcome remarks

h.e. mr. volkan bozkir, president of the 75th session of the general assembly

statements

h.e. mr. antónio guterres, secretary-general, united nations
	h.e. mr. munir akram, president of economic and social council
	h.e. mr. abdel fattah al sisi, president of the arab republic of egypt
	host of the fourteenth meeting of the conference of the parties to the convention on biological diversity
	
	h.e. mr. xi jinping, president of the people's republic of china,
	host of the fifteenth meeting of the conference of the parties to the convention on biological diversity",2021-04-16
"42","United Nations Summit on Biodiversity    --30 September 2020","https://www.cbd.int/article/2020-UN-Biodiversity-Summit/statements, https://www.un.org/pga/75/united-nations-summit-on-biodiversity/, https://www.cbd.int/events/unbiodiversitysummit/summary.pdf, https://www.cbd.int/doc/notifications/2020/ntf-2020-054-un-biodiversity-summit-en.pdf, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/, https://undocs.org/en/A/RES/74/269, https://www.cbd.int/events/unbiodiversitysummit/factsheet-numbers.pdf, https://www.cbd.int/events/unbiodiversitysummit/factsheet-actions.pdf, https://www.cbd.int/events/unbiodiversitysummit/letter-spillover.pdf, https://www.un.org/pga/75/wp-content/uploads/sites/100/2020/09/Letter-to-Member-States-re-Updated-Programme-and-List-of-Speakers-15-September-Final-002.pdf, https://www.un.org/pga/74/2020/09/10/selection-of-co-chairs-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/28/co-moderators-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/10/summit-on-biodiversity-8/, https://www.un.org/pga/74/2020/08/04/summit-on-biodiversity-list-of-speakers/, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/","mr. achim steiner, undp administrator (moderator)
	ms. inger andersen, executive director, un environment programme (unep)
	ms. elizabeth maruma mrema, executive secretary, convention on biological diversity (cbd)
	ms. ana maría hernández salgar, chair, intergovernmental science-policy platform on biodiversity and ecosystem services (ipbes)
statement from eminent person

hrh prince charles, prince of wales, prince of wales conservation trust
statement from youth representative

ms. archana soreng, indigenous youth, un secretary-general<U+0092>s youth advisory group on climate change",2021-04-16
"43","United Nations Summit on Biodiversity    --30 September 2020","https://www.cbd.int/article/2020-UN-Biodiversity-Summit/statements, https://www.un.org/pga/75/united-nations-summit-on-biodiversity/, https://www.cbd.int/events/unbiodiversitysummit/summary.pdf, https://www.cbd.int/doc/notifications/2020/ntf-2020-054-un-biodiversity-summit-en.pdf, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/, https://undocs.org/en/A/RES/74/269, https://www.cbd.int/events/unbiodiversitysummit/factsheet-numbers.pdf, https://www.cbd.int/events/unbiodiversitysummit/factsheet-actions.pdf, https://www.cbd.int/events/unbiodiversitysummit/letter-spillover.pdf, https://www.un.org/pga/75/wp-content/uploads/sites/100/2020/09/Letter-to-Member-States-re-Updated-Programme-and-List-of-Speakers-15-September-Final-002.pdf, https://www.un.org/pga/74/2020/09/10/selection-of-co-chairs-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/28/co-moderators-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/10/summit-on-biodiversity-8/, https://www.un.org/pga/74/2020/08/04/summit-on-biodiversity-list-of-speakers/, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/","the opening segment and the plenary session highlighted the connections between biodiversity, societies and economies. heads of state and government and other leaders recognized biodiversity<U+0092>s multiple and essential contributions to sustainable development, and demonstrated ambition and commitment to accelerate action on biodiversity for sustainable development, for example through whole-of-government and whole-of-society approaches and investments to restore, sustainably use, conserve and equitably share benefits from biodiversity.

key issues

addressing the loss of biodiversity is essential for poverty eradication, sustainable jobs, economic development and meeting the sdgs.
	all people depend on a healthy planet. 
	sustainable use and conservation of biodiversity is key to ensure that no one is left behind. 
	restoration of biodiversity and implementation of nature-based solutions will be essential to meet the sdgs.
	the decade of action and delivery for sustainable development provides a critical opportunity to halt biodiversity loss and encourage its sustainable use.
	urgent action on biodiversity is needed across all sectors and from all actors.",2021-04-16
"44","United Nations Summit on Biodiversity    --30 September 2020","https://www.cbd.int/article/2020-UN-Biodiversity-Summit/statements, https://www.un.org/pga/75/united-nations-summit-on-biodiversity/, https://www.cbd.int/events/unbiodiversitysummit/summary.pdf, https://www.cbd.int/doc/notifications/2020/ntf-2020-054-un-biodiversity-summit-en.pdf, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/, https://undocs.org/en/A/RES/74/269, https://www.cbd.int/events/unbiodiversitysummit/factsheet-numbers.pdf, https://www.cbd.int/events/unbiodiversitysummit/factsheet-actions.pdf, https://www.cbd.int/events/unbiodiversitysummit/letter-spillover.pdf, https://www.un.org/pga/75/wp-content/uploads/sites/100/2020/09/Letter-to-Member-States-re-Updated-Programme-and-List-of-Speakers-15-September-Final-002.pdf, https://www.un.org/pga/74/2020/09/10/selection-of-co-chairs-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/28/co-moderators-for-the-leaders-dialogues-for-the-summit-on-biodiversity/, https://www.un.org/pga/74/2020/08/10/summit-on-biodiversity-8/, https://www.un.org/pga/74/2020/08/04/summit-on-biodiversity-list-of-speakers/, https://www.un.org/pga/74/2020/07/24/summit-on-biodiversity-7/","this session highlighted the opportunities and priorities for action to tackle the causes of biodiversity loss and for integrating action on biodiversity for sustainable development into key sectors. heads of state and government and other leaders demonstrated ambitious actions to address the causes of biodiversity loss and mainstream biodiversity action across all sectors of government, society and the economy.

key issues

the main direct causes and impacts of biodiversity loss and ecosystem degradation are well known. 
	there is widespread agreement on the actions urgently required to address biodiversity loss, and the need to embed these in all sectors of sustainable development. 
	sustainable consumption and production will require decoupling the concept of a good life from perpetual economic growth.
	positive incentives to ensure co-benefits for biodiversity, societies and economies.
	successful on-the-ground actions can be further scaled-up to help address biodiversity loss.
	whole-of-government and whole-of-society approaches to the conservation and sustainable use of biodiversity need to be strengthened.",2021-04-16
