"","title","link","text","collection_date"
"11","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"12","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"13","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"14","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"15","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"16","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"17","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"18","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"19","ANNOUNCEMENT","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","the international seabed authority expresses its profound shock and sadness upon the death of caitlyn l. antrim of the united states. 
caitlyn passed away suddenly in kingston, jamaica on 28 july 2018, after attending the twenty-fourth session of the assembly of the authority. 
as a founder member of the rule of law committee for the oceans, caitlyn devoted her life to advancing the common heritage of mankind and especially to the cause of u.s. ratification of the united nations convention on the law of the sea.
 
over the years, ms. caitlyn antrim developed unique expertise on part xi of the convention and always had wise and interesting insights to share on the negotiations of the deep seabed mining regime and on the future of its implementation. 
all of us in the deep seabed mining community will miss her.tweets by isbahq",2021-04-16
"20","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"21","International Seabed Authority Marks Twentieth Anniversary","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","the assembly of the international seabed authority yesterday (22 july) held a day-long special session to commemorate the organisation’s twentieth anniversary with united nations secretary-general ban ki-moon, noting in a message, that the ongoing development by the authority of a comprehensive set of rules governing seabed mining would go a long way towards helping states derive tangible benefits from the deep seabed area.
at the start of the meeting, the assembly elected russian federation as a vice-president, nominated by the eastern european group, to complete the slate of vice presidents that includes china, for the asian group and france and nigeria representing the western european and others and the african groups, respectively.
in his opening address president of the assembly, antonio francisco da costa e silva neto (brazil), pointed to the historic importance of the special session describing it as “a momentous occasion” for the authority and the world, a theme that resounded in speeches throughout the day-long celebration. in welcoming the prime minister of jamaica to the event the president underscored the host country’s contribution to the work of the authority.
describing the authority as “a radical establishment that is vital today as it was 20 years ago”, the prime minister of host country jamaica, the most honourable portia simpson miller, said there were some critical issues that the authority must continue to address. among them were the management and governance of mineral resources of the deep seabed, the sharing of those resources, sustainability of fisheries, and the development of new mining techniques to protect the marine environment.
the authority’s secretary-general, nii allotey odunton (ghana), said there was urgent need for rationalization of data related to marine mineral resources. the authority also needed more baseline environmental data, including the use of standardize taxonomies, for lesser known deposits, fauna, and species of which very little was known. it would be important at the mining stage to have reference to data, nomenclature, and taxonomy references for the deposits.
tommy koh, ambassador-at-large, singapore ministry of foreign affairs, in a keynote speech, said the visibility of the authority must be raised to inform the world about its important mission. the authority should enhance its outreach programme, and also encourage the leading law schools of the world to teach a module on part xi of the convention covering seabed mining provisions.
satya n. nandan, the authority’s first secretary-general (1996-2008), said the next stage of the authority’s work must relate to the priority item of developing a regulatory regime for exploitation of deep seabed minerals. that should be done in a timely manner. the credibility of the authority depended very much on the confidence it generated among its members as well as among those willing to work with it in the development of the common heritage resources.
statements were also made by judge josé luis jesus, member of the international tribunal for the law of the sea, and former chairman of the preparatory commission for the international seabed authority (1987-1994); hasjim djalal, first president of the assembly of the authority (1996); judge vladimir golitsyn, president of the disputes chamber (on behalf of the president of the tribunal); and chairpersons of the five regional groups. some individual delegations and observers spoke.
this year also marks the twentieth anniversary of the entry into force of the united nations convention on the law of the sea on 16 november 1994. guyana deposited the sixtieth instrument of ratification to make that possible. the convention was opened for signature on 10 december 19892 at montego bay, jamaica. today’s commemoration was brought forward to coincide with the twentieth annual session of the authority.
the 166-member authority is responsible for all mineral-related activities in the deep seabed area beyond national jurisdiction. its main tasks include administering the mineral resources of the area, the promotion and encouragement of marine scientific research in the deep seabed area, and ensuring the effective protection of the marine environment. 
   statements
the authority’s secretary-general nii allotey odunton (ghana) said there was urgent need for rationalization of data related to marine mineral resources. the authority needed more baseline environmental data, including the use of standardize taxonomies, for lesser known deposits, fauna, and species of which very little was known. mr. odunton said it would be important at the mining stage to have reference to data, nomenclature, and taxonomy references for the deposits.
noting that the authority also needed to focus on the standardization of technologies for the extraction of nodules, the secretary-general reminded the assembly of the importance of the legal and technical commission, the expert body entrusted with assessing the environmental impact of activities in the deep seabed area and advising the authority on all matters relating to exploration and exploitation of non-living marine resources. 
mr. odunton said he never imagined that the authority would have signed 26 contracts for exploration within the first twenty years of its existence. expressing his appreciation to the government and people of the host country for their hospitality and assistance, he said he looked forward to the authority being in jamaica when actual mining began.
the most honourable portia simpson miller, prime minister of jamaica, describing the authority as “a radical establishment that is vital today as it was 20 years ago”, said there were some critical issues that the organization must continue to address.  among them were the management and governance of mineral resources of the deep seabed, the sharing of those resources, sustainability of fisheries, and the development of new mining techniques to protect the marine environment.
the prime minister commended the secretary-general, his staff, and member states of the authority for the strong focus on environmental protection and conservation of the living non-renewable resources in the area. she said that a healthy international seabed authority “is necessary and especially important for island states such as ours in the caribbean which depend on the quality of the natural environment and derive much of their economic growth from the use of natural resources”. 
mrs. simpson miller described the work of the authority over the next few years as critical to the support of the region and small island states’ development objectives.  she called on the authority to remain a strong and unified voice in the wider universe through the promotion of diplomacy at sea, investment in training, and capacity building to open doors to development opportunities.
ban ki-moon, secretary-general of the united nations, in a message, said the concept of the “common heritage of mankind” represented by the seabed, ocean floor and subsoil, beyond the limits of national jurisdiction (the area) was a major innovation in international law. it replaced uncertainties concerning the future of the seabed with a regime of shared benefits and responsibilities for all states, including land-locked ones.
he said the ongoing development by the authority of a comprehensive set of rules governing seabed mining would go a long way towards helping states to derive tangible benefits from the area. he urged member states to recommit themselves to implementing the united nations convention on the law of the sea and in participating in the authority’s work. the u.n. secretary-general’s message was delivered by stephen mathias, assistant secretary-general for legal affairs.
 
tommy koh, ambassador-at-large, singapore ministry of foreign affairs, in a keynote speech, said the visibility of the authority must be raised to inform the world about its important mission. the authority should enhance its outreach programme, and also encourage the leading law schools of the world to teach a module on part xi of the convention covering seabed mining provisions.
mr. koh said that when financial resources become available, the authority should proceed to build the international seabed authority museum to showcase the results of research on and new discoveries of the flora, fauna and mineral resources of the last frontier, which covered an area of 160 million square kilometres.  looking to the future, he said the authority must begin to formulate the rules, regulations and procedures applicable to exploitation contracts. the authority must encourage those engaged in exploration to proceed to the next stage of exploitation.     
      
satya n. nandan, the authority’s first secretary-general (1996-2008), said the next stage of the authority’s work must relate to the priority item of developing a regulatory regime for exploitation of deep seabed minerals. that should be done in a timely manner. the credibility of the authority depended very much on the confidence it generated among its members as well as among those willing to work with it in the development of the common heritage resources.
the authority’s regulations must be fair to the contractor as well as to the authority which represented the interests of mankind as a whole. mankind would only benefit if mining in fact took place. it was not the function of the authority to simply distribute sites to all applicants without a good faith effort by them to develop the resources, because that did not serve the interests of mankind.
he said the authority’s assembly, council and legal and technical commission should continue to be objective and fair in their decision-making and where appropriate, use the best available scientific information. 
judge josé luis jesus, member of the international tribunal for the law of the sea, and chairman of the preparatory commission for the international seabed authority, (1987-1994) said that by putting in place the necessary instruments and steadily developing the regulatory framework on which the seabed activities might take place, the authority had brought member states closer to the exploitation phase. that was a major achievement of its work over the last twenty years. to be able to carry on and bring its work to a point where the possibilities of commercial exploitation of seabed resources could be seen was a good cause to celebrate the authority’s twenty years.
he said the authority’s success was necessarily the success of the convention whose strength could be measured through the operation of the institutional framework it established. the three institutions the convention created – the international seabed authority, the international tribunal and the commission on the limits of the continental shelf - were operating fully. their activities were very important and in some cases indispensable to states, he added.
prof. hasjim djalal, first president of the international seabed authority (1996), traced the history of the search for seabed mineral resources from as early as 1918 when oil resources were exploited by american interests in the gulf of mexico. he referred to the truman declaration of 1945, through which the united states claimed the right to control the resources of its continental shelf. 
that was a milestone in the development of the law of the sea, prof. djalal said, as other states began to follow suit, although there was as yet no legal definition of the meaning of the term “continental shelf”. a legal definition was adopted by the geneva convention in 1958, but it was ambassador arvid pardo of malta at the united nations general assembly in 1967 who first raised the question of who owned the mineral resources of the deep seabed and what rules should govern their exploitation.
in 1970, the united nations general assembly adopted a resolution that designated the resources as “the common heritage of mankind” and called for the establishment of an international authority as the steward of that heritage, leading to the adoption of the united nations convention on the law of the sea in 1982. he hoped that someday the united states and other non-ratifiers would see the benefits of ratifying the convention “rather than staying away out if it’.
judge vladimir golitsyn, president of the seabed disputes chamber of the international tribunal for the law of the sea, bringing greetings on behalf of the president of the tribunal, judge shunji yanai, spoke of the relationship of “fruitful cooperation” between the authority and the chamber.
outlining the mandate of his organization, judge golitsyn explained that the tribunal had jurisdiction over contentious cases, both between states parties concerning the interpretation or application of the convention’s regime for the deep seabed, and between a state party and the authority.  with regard to the advisory jurisdiction of the tribunal, the rationale was that in carrying out its functions in accordance with the convention, the authority might “require assistance of an independent and impartial judicial body.
the judge announced that a joint regional workshop was being planned to take place in ghana later this year to disseminate information on the work of both the authority and the tribunal to government officials from the region of west africa. 
regional groups’ statements
nigeria said the african group welcomed efforts and initiatives that would facilitate the development of the mining code for contractors ready and willing to move to the next stage of exploitation.  the group called on contractors to carry out their obligations with utmost dedication and make available all necessary information and data to assist the work of the authority. nigeria said the group recognized the quality leadership provided by secretary-general nii allotey odunton who, he described as “a distinguished african and pride of the continent”.
speaking on behalf of the asian and pacific states, fiji paid homage to ambassador arvid pardo of malta and other forefathers of the authority. the representative spoke of the responsibility of the authority to manage the natural resources of the area while preserving the marine environment.
russian federation foreign minister sergey lavrov, in a message to the authority’s secretary-general on the occasion, said the authority had gained “a firm hold as a reputable international organization” that effectively ensured the implementation of the united nations convention on the law of the sea with the purpose of managing the deep seabed area and its resources that formed the common heritage of mankind.
the russian federation, as one of the main contractors, highly valued the work done by the authority in organizing and controlling activities in the area. russia attached special importance to the efforts to elaborate and improve the legal basis of cooperation for the development of the area’s resources and rules for searching and prospecting. it was important that account was taken of the interests and needs of developing and least developed states, as well as applicable standards in the sphere of ecological safety and protection of the marine environment. he assured the secretary-general of russia’s “firm intention” to be actively involved in the work of the authority.    the message was read by the representative of russian federation who is chair of the eastern european group.
speaking on behalf of the latin american and caribbean group, mexico said that the best way to honour the work of those who were instrumental in establishing the authority would be to reaffirm the commitment of its members to undertake the new challenges ahead. the representative added that mechanisms were needed to evaluate and manage the environmental impact of mining operations as well as financial rules related to the benefits of exploitation. he noted the importance of taking into account the needs of developing countries.
mexico also noted with satisfaction at the increase in the number of permanent representatives to the authority, most of which were members of the group.
speaking on behalf of the western european and others group, the representative of germany noted that the convention was the radiant result of the great effort undertaken by the international community to conceive a universal legal framework for the oceans. he stated that this “constitution of the oceans, in the face of the challenges inherent in its activities, had proven both efficient and flexible.
furthermore, he pointed to the commitment of members of the western european and others group to the authority, reflected in the fact that seven of the exploration contracts approved had been sponsored by member states of this group, adding that they had also implemented cooperation projects with international partners and particularly developing states.
he added that this period marking the end of the first exploration contracts and the progress towards the exploitation phase brought new challenges that western european and others group was ready to take on along with the authority
afternoon meeting
on the resumption of the session following the lunch break, delegates were treated to a musical presentation by a youth group collegium musicum jamaica.  mr. mumba kapumpa, ambassador of zambia to south korea, was the first speaker after the break. he traced the birth and early development of the authority noting the spirit of compromise and the corporation that permeated. he said land-locked states compromised on almost every issue. “everything we did was by way of compromise”, he told the assembly. mr. kapumpa said the united nations convention on the law of the sea was intended to provide “a calmness of the oceans” following conflict in deliberations between states over issues of the deep seabed. celebrating the authority’s achievements twenty years later, he confirmed the seas “are calmer.”
describing the special session as a ceremonial handing over by the pioneers to those who have come after 1994, mr. kapumpa praised the secretary-general for his ability to calm situations and for always being available to assist delegations to arrive at consensus.
baïdy diène who served as president of the authority (2014) was a member of the legal and technical commission (2002-2011) said he was privileged to witness the conception, birth and evolution of the authority. he recognized the work of those who pioneered the creation of the authority saying they faced many problems but had found solutions through consensus to advance the work of the organisation. mr. diène also praised the “enlightened leadership” of the two secretary-generals, (satya n. nandan (1996-2008) and nii allotey odunton, the current secretary-general). like other delegations he emphasised the importance of training to benefit developing states especially and hoped that, with twenty-six contractors training would flourish.
speaking on behalf of the pacific small island developing states (psids), tonga described the close relationship between the oceans and the lives and livelihoods of the peoples of the pacific islands. he suggested that this was one of the reasons that all psids were parties of the convention and had committed themselves to its principles. the representative said that the state of the marine environment was deteriorating rapidly, so the twentieth anniversary of authority was a good opportunity to recommit to the preservation and equitable utilization of marine resources.
the representative of mexico spoke of the important role played by the oceans in human life, saying that states had an undeniable responsibility to protect them for future generations.  he commended the authority for its efforts to forge a strong relationship between developed and developing nations with regard to marine scientific research and resource exploration in the area.
trinidad and tobago said that in elaborating regulations for the exploitation of deep seabed minerals, member states must insist on the formulation of “robust provisions to safeguard the marine environment.” it added that the authority must make progress in developing environmental management plans to govern activities in the area, particularly for those zones for which exploration contracts were in force.
the authority also had a role to play, the trinidad and tobago representative noted, in shaping the implementation agreement being considered under the aegis of the un general assembly, relating to the conservation and sustainable use of marine biodiversity beyond areas of national jurisdiction. he added that as a matter of priority, the legal and technical commission should be mandated to begin working on policies to give effect to article 82 of the convention, which he characterized as dormant. (article 82 requires states parties to make payment or contributions in respect of the resource of the continental shelf beyond 200 nautical miles).
indonesia noted that it had been involved with the authority since ambassador hasjim djalal was appointed as the first president of the assembly. the representative said his country would continue to support the work of the authority which, he said, was making good progress in the right direction.
south africa said that the principle of the common heritage of mankind was about “solidarity in the preservation and conservation of a good” to be shared by all for the benefit of all. it added that in moving toward the exploitation phase it was important to establish a fiscal framework for mining that was fair to industry, investors, member states and all mankind.
bangladesh, speaking for the first time in the assembly, pointed out that it was among the 119 member states who became signatories to the convention on the first day it was opened for signature.  the representative took the opportunity to inform the assembly that the dispute concerning delimitation of the maritime boundary between bangladesh, india and myanmar in the bay of bengal had been settled by the international tribunal for the law of the sea (itlos).
 
he said the ruling represented a victory for all three countries by peacefully resolving an issue that had hampered their economic development for over three decades.
the representative of fiji noted that when his country ratified the convention in 1982, it was seen as a just and equitable governance system for the world’s oceans. there had been no cause for disappointment, he said, adding that the convention had become embedded in the affairs of nations and continued to serve as a guide in other areas of law.
the representative of cuba said her delegation saw the authority as an essential instrument for maintaining and strengthening peace, order and sustainable development in oceans and seas. cuba had in the last twenty years made huge efforts to implement national strategies for sustainable development and the protection of the marine environment. cuba reiterated the importance of strengthening international cooperation in the management of marine resources and the care of the oceans and their biodiversity, duly respecting the jurisdiction of states over their territorial sea and the management of resources in their exclusive economic zone and continental shelf.  
india referred to the convention as an instrument containing several revolutionary elements. it confirmed its commitment to facilitating training for participants from developing countries, and spoke of a workshop to be held in india later this year to assist contractors to prepare estimates of mineable sites within exploration areas.
the philippines described the convention as playing a key role in ensuring global peace and cooperation. panama renewed its commitment to the authority, which it described as the product of one of the most important and far-reaching instruments in international law, namely the convention. st kitts and nevis commended the authority for its commitment to preserve the world’s rich marine heritage. in the final intervention from a member state, jamaica committed to continue to fulfil its obligations as host country in spite of limited resources.
the representative of senegal said that his country and six others were working on a joint submission to be made to the commission on the limits of the continental shelf (clcs) for an extension of the continental shelf. he expressed appreciation to the government of norway for its assistance in beginning the submission process, adding that the deposit of the joint request would be an example of regional as well as north-south cooperation.
guyana informed the assembly that on 6 september 2011, her country had made a submission for an extended continental shelf in accordance with article 76, paragraph 8, of the convention. the country was still awaiting a ruling on the matter.
brazil stated that it had sponsored an application for approval of a plan of work for exploration for cobalt-rich ferromanganese crusts, which showed its commitment to the growth and consolidation of the authority.
four observers also spoke at the session. they are greenpeace international, world wildlife fund international, international union for the conservation of nature and natural resources, and deep sea conservation coalition.  the organisations highlighted the impact of climate change on the oceans and the importance of transparency in the authority’s operations.
the assembly meets today, 23 july, to consider the annual report of the secretary-general of the authority. before that meeting the authority’s council will convene briefly to adopt a draft decision relating to the summary report of the chair of the legal and technical commission.

above: speakers at the special sessiontweets by isbahqna",2021-04-16
"22","Nautilus Minerals Propose Joint Venture with the Enterprise","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","the secretariat of the international seabed authority has received a proposal from nautilus minerals inc., (‘nautilus’) a company incorporated in canada, to enter into negotiations to form a joint venture with the enterprise for the purpose of developing eight of the reserved area blocks in the clarion clipperton zone (ccz).
the terms of the proposal by nautilus are set out in a draft heads of agreement, which is annexed to a document to be submitted for the consideration of the council at the nineteenth session in july 2013 under symbol isba/19/c/4.
the enterprise is the commercial arm of the authority, empowered to conduct its own mining, initially through joint ventures with other entities. until seabed mining becomes a commercial reality, the functions of the enterprise are to be carried out by the secretariat.
during the interim period, the secretariat will monitor trends and developments, assess prospecting and exploration data and the results of marine scientific research, evaluate data on seabed areas reserved for the authority, assess approaches to joint ventures, and study managerial policy options for administering the enterprise.tweets by isbahqna",2021-04-16
"23","Workshop: Marine Mineral Resources of Africa","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://au.int/en/commission, https://www.isa.org.jm/sites/default/files/documents/EN/SG-Stats/sg-kampala.pdf, https://www.isa.org.jm/photo-galleries, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","jamaica, kingston (02 may 2017) - - the workshop on marine mineral resources of africa’s continental shelf and adjacent international seabed area – prospects for sustainable development of africa’s maritime domain, in support of africa’s blue economy is being held in kampala, uganda from 2 to 4 may 2017.
the workshop is jointly organized by the republic of uganda and the isa, in partnership with the african mineral development centre (amdc), the pew charitable trusts, and grid-arendal (norway); with the support of the african union commission (auc) and the united nations economic commission for africa (uneca).
the workshop will bring together experts from the international legal and scientific community, national and regional government officials, scientists, researchers and academics to discuss issues associated with the united nations convention on the law of the sea (unclos); the work of the isa on marine mineral resources development and the protection and preservation of the marine environment from activities in the international seabed area (the area).
the workshop will also discuss and propose mechanisms for improving regional cooperation and participation of african countries in the deep seabed regime. in particular, it will address special interests of landlocked african countries.
these issues will be addressed in the framework of the united nations sustainable development goals (sdgs).  in particular, sdg 14, which refers to “conservation and sustainable use of the oceans, seas, and marine resources for sustainable development.""
the workshop is specifically planned to: motivate african states to build relevant technical capacity in relation to activities in the deep seabed; increase participation in decisions that relate to the area; take part in the activities in the area; define and enable sustainable activities on africa’s continental shelf; and contribute to the sustainable development of africa’s blue economy.
secretary-general michael lodge statement   |  photos


 
end
media contact:
anna elaise | news@isa.org.jm | +1 876 922-9105tweets by isbahq",2021-04-16
